artist,date,dj,genre,show,timestamp,title
DJ Tron,"Sep 25, 2024",Matt,Unknown,The Locked Groove,9:40 PM,It's Time
Karsh Kale,"Sep 18, 2024",Matt,World,The Locked Groove,9:21 PM,Distance - Banco De Gaia Remix
I:Cube,"Sep 18, 2024",Matt,Unknown,The Locked Groove,9:29 PM,Cash Conv.
Amor Satyr,"Sep 18, 2024",Matt,Unknown,The Locked Groove,9:36 PM,Psychic Water
Deedrah,"Sep 18, 2024",Matt,Unknown,The Locked Groove,9:41 PM,Self Oscillation
Filmmaker,"Sep 18, 2024",Matt,Unknown,The Locked Groove,9:48 PM,Logic Bomb
X Dream,"Sep 18, 2024",Matt,Unknown,The Locked Groove,9:53 PM,Inter Corporal Stimulator
Insect Ark,"Sep 18, 2024",Matt,Rock,The Locked Groove,9:55 PM,Daath
Five Star Hotel,"Sep 25, 2024",Matt,Unknown,The Locked Groove,9:48 PM,Fail Safe
Converter,"Sep 25, 2024",Matt,Unknown,The Locked Groove,9:53 PM,Conqueror
DJ Shufflemaster,"Nov 6, 2024",Matt,Unknown,The Locked Groove,9:00 PM,Slip Inside You
The Field Mice,"Oct 2, 2024",Matt,Pop,The Locked Groove,9:01 PM,If You Need Someone
Dreamcrusher,"Oct 2, 2024",Matt,Unknown,The Locked Groove,9:03 PM,Goths at the Beach
Sonic Youth,"Oct 30, 2024",Rob,Classical,The Locked Groove,9:02 PM,Providence
Codex Empire,"Oct 30, 2024",Rob,Dance,The Locked Groove,9:03 PM,Cutpurse
Hunting Lodge,"Oct 30, 2024",Rob,Unknown,The Locked Groove,9:08 PM,Icepick Method
St. Christopher,"Oct 2, 2024",Matt,Unknown,The Locked Groove,9:08 PM,You Deserve More Than A Maybe
Pan Sonic,"Oct 2, 2024",Matt,Unknown,The Locked Groove,9:11 PM,Onkalo
Northern Picture Library,"Oct 2, 2024",Matt,Unknown,The Locked Groove,9:13 PM,Paris
Eric Zann,"Oct 2, 2024",Matt,Jazz,The Locked Groove,9:19 PM,Threshold
Brighter,"Oct 2, 2024",Matt,Unknown,The Locked Groove,9:21 PM,Things Will Get Better
Ramleh,"Oct 2, 2024",Matt,Unknown,The Locked Groove,9:25 PM,Philadelphia Mountain Lion
action painting,"Oct 2, 2024",Matt,Unknown,The Locked Groove,9:27 PM,Mustard Gas - Sarah Records Single Remaster
Even As We Speak,"Oct 2, 2024",Matt,Unknown,The Locked Groove,9:29 PM,One Step Forward
Tim Hecker,"Oct 30, 2024",Rob,Classical,The Locked Groove,9:13 PM,Prism
Fad Gadget,"Oct 30, 2024",Rob,Unknown,The Locked Groove,9:16 PM,Insecticide
Swans,"Oct 30, 2024",Rob,Unknown,The Locked Groove,9:19 PM,All Lined Up
Coil,"Oct 30, 2024",Rob,Unknown,The Locked Groove,9:28 PM,Where are you?
Christian Marclay,"Oct 30, 2024",Rob,Unknown,The Locked Groove,9:32 PM,Phonodrum
Prurient,"Oct 30, 2024",Rob,Unknown,The Locked Groove,9:36 PM,Cocaine Death
Einstürzende Neubauten,"Oct 30, 2024",Rob,Unknown,The Locked Groove,9:40 PM,Der Tod ist ein dandy
Animal Collective,"Oct 30, 2024",Rob,Unknown,The Locked Groove,9:47 PM,Fried Camp
Swærm,"Oct 30, 2024",Rob,Unknown,The Locked Groove,9:52 PM,Untold Nightmares
Ulcerate,"Oct 30, 2024",Rob,Unknown,The Locked Groove,9:59 PM,To Flow Through Ashen Hearts
Tokyo Shoegazer,"Oct 16, 2024",Rob,Unknown,The Locked Groove,9:01 PM,299 Addiction
Broadcast,"Oct 16, 2024",Rob,Unknown,The Locked Groove,9:04 PM,The Games You Play
Group Inerane,"Oct 16, 2024",Rob,Unknown,The Locked Groove,9:06 PM,Deran Deran
Skullflower,"Oct 2, 2024",Matt,Unknown,The Locked Groove,9:33 PM,Eat the Stars
The Sugargliders,"Oct 2, 2024",Matt,Unknown,The Locked Groove,9:39 PM,Ahprahran
Blueboy,"Oct 2, 2024",Matt,Unknown,The Locked Groove,9:42 PM,Try Happiness
Pharmakon,"Oct 2, 2024",Matt,Classical,The Locked Groove,9:49 PM,Transmission
14 Iced Bears,"Oct 2, 2024",Matt,Unknown,The Locked Groove,9:51 PM,Come Get Me
Converter,"Oct 2, 2024",Matt,Dance,The Locked Groove,9:56 PM,Sadist
Boyracer,"Oct 2, 2024",Matt,Unknown,The Locked Groove,9:57 PM,I've Got It And It's Not Worth Having
South Pacific,"Oct 16, 2024",Rob,Unknown,The Locked Groove,9:10 PM,Blue Lotus
Kitty Craft,"Oct 16, 2024",Rob,Unknown,The Locked Groove,9:14 PM,Inward Jam
Can,"Oct 16, 2024",Rob,Unknown,The Locked Groove,9:17 PM,Millionspiel
The Fall,"Oct 16, 2024",Rob,Rock,The Locked Groove,9:23 PM,Jawbone + the Air-Rifle
Spectrum,"Oct 16, 2024",Rob,Rock,The Locked Groove,9:29 PM,How to Satisfy Me
Here,"Oct 16, 2024",Rob,Unknown,The Locked Groove,9:31 PM,Lanes
Flowchart,"Oct 16, 2024",Rob,Unknown,The Locked Groove,9:35 PM,Pronoun-U
Pia Fraus,"Oct 16, 2024",Rob,Rock,The Locked Groove,9:38 PM,Zodalovers
Spacemen 3,"Oct 16, 2024",Rob,Unknown,The Locked Groove,9:42 PM,Rollercoaster
Lycia,"Oct 23, 2024",Matt,Jazz,The Locked Groove,9:01 PM,The Better Things to Come
Pieter Nooten And Michael Brook,"Oct 23, 2024",Matt,Unknown,The Locked Groove,9:07 PM,Several Times I
Chessie,"Oct 23, 2024",Matt,Unknown,The Locked Groove,9:07 PM,Electro-Motive
Alcian Blue,"Oct 16, 2024",Rob,Unknown,The Locked Groove,9:50 PM,Faded Song
Boredoms,"Oct 16, 2024",Rob,Unknown,The Locked Groove,9:55 PM,(star)
Virgin Prunes,"Oct 23, 2024",Matt,Unknown,The Locked Groove,9:13 PM,Sweethome Under White Clouds - 2004 Remaster
Current 93,"Oct 23, 2024",Matt,Unknown,The Locked Groove,9:17 PM,The Cloud of the Unknowing
Trance to The Sun,"Oct 23, 2024",Matt,Jazz,The Locked Groove,9:36 PM,Horse Head Lake
Main,"Oct 23, 2024",Matt,Unknown,The Locked Groove,9:36 PM,Viii
Soulwhirlingsomewhere,"Oct 23, 2024",Matt,Unknown,The Locked Groove,9:43 PM,the hook through it
Unwound,"Oct 23, 2024",Matt,Unknown,The Locked Groove,9:48 PM,One Lick Less
Sidewalks and Skeletons,"Oct 23, 2024",Matt,Unknown,The Locked Groove,9:53 PM,Rapture
A.R.Kane,"Oct 23, 2024",Matt,Unknown,The Locked Groove,9:56 PM,Baby Milk Snatcher
Ulcerate,"Oct 23, 2024",Matt,Unknown,The Locked Groove,9:59 PM,To Flow Through Ashen Hearts
DJ Shufflemaster,"Nov 6, 2024",Rob,Dance,The Locked Groove,9:01 PM,Slip Inside You
Regis,"Nov 6, 2024",Rob,Unknown,The Locked Groove,9:07 PM,Rites
Female,"Nov 6, 2024",Rob,Unknown,The Locked Groove,9:10 PM,Looking Through the Eyes of Love
James Ruskin,"Nov 6, 2024",Rob,Dance,The Locked Groove,9:15 PM,Unknown Destination
CA2+,"Nov 6, 2024",Rob,Unknown,The Locked Groove,9:20 PM,Stop Mixing Tracks Like This
Frank Bretschneider,"Nov 6, 2024",Rob,Unknown,The Locked Groove,9:23 PM,interlock
VTSS,"Nov 6, 2024",Rob,Unknown,The Locked Groove,9:29 PM,C.E.T. Unlimited
British Murder Boys,"Nov 6, 2024",Rob,Dance,The Locked Groove,9:35 PM,You Said You Want To
Fret,"Nov 6, 2024",Rob,Unknown,The Locked Groove,9:42 PM,Closed Syndicate
Surgeon,"Nov 6, 2024",Rob,Unknown,The Locked Groove,9:47 PM,"Patience, Pt. 2"
The Empire Line,"Nov 6, 2024",Rob,Techno,The Locked Groove,9:52 PM,Herrensauna
Speedy J,"Nov 6, 2024",Rob,Dance,The Locked Groove,9:58 PM,Stroker - Remastered 2021
Z'ev,"Nov 13, 2024",Matt,Rock,The Locked Groove,9:03 PM,Base Drums
Philip Jeck,"Nov 13, 2024",Matt,Unknown,The Locked Groove,9:05 PM,Ps One
Squu,"Nov 13, 2024",Matt,Dance,The Locked Groove,9:13 PM,Dials P
David Toop,"Nov 13, 2024",Matt,Unknown,The Locked Groove,9:17 PM,Burial Rites
Oval,"Nov 13, 2024",Matt,Unknown,The Locked Groove,9:28 PM,Gabba Nation
Max Eastley,"Nov 13, 2024",Matt,Unknown,The Locked Groove,9:33 PM,_3
Ahnnu,"Nov 13, 2024",Matt,Hip Hop/Rap,The Locked Groove,9:37 PM,Ghille in the Mist
Magnet,"Nov 20, 2024",Rob,Unknown,The Locked Groove,9:01 PM,Corn Rigs
Bruiser and Bicycle,"Nov 20, 2024",Rob,Unknown,The Locked Groove,9:02 PM,The Train
Sorrow,"Nov 20, 2024",Rob,Folk,The Locked Groove,9:06 PM,Ice and I
Kria Brekkan,"Nov 20, 2024",Rob,Unknown,The Locked Groove,9:09 PM,Ribbon Bow
TwinSisterMoon,"Nov 20, 2024",Rob,Rock,The Locked Groove,9:10 PM,The Spears of the Wolf
Julious Tantz,"Nov 20, 2024",Rob,Unknown,The Locked Groove,9:13 PM,Ungarischer
Magnet,"Nov 20, 2024",Matt,World,The Locked Groove,9:00 PM,Corn Rigs
Coil,"Nov 13, 2024",Matt,Classical,The Locked Groove,9:42 PM,Strange Birds
Maria Teresa Luciani,"Nov 13, 2024",Matt,Unknown,The Locked Groove,9:45 PM,Luna Park
Cluster,"Nov 13, 2024",Matt,Rock,The Locked Groove,9:47 PM,Georgel
Broadcast,"Nov 13, 2024",Matt,Unknown,The Locked Groove,9:54 PM,Microtronics 20
Seefeel,"Nov 13, 2024",Matt,Unknown,The Locked Groove,9:54 PM,Air Eyes
Current 93,"Nov 20, 2024",Rob,Unknown,The Locked Groove,9:16 PM,Halo - Live
Death In June,"Nov 20, 2024",Rob,Unknown,The Locked Groove,9:19 PM,She Said Destroy
Animal Collective,"Nov 20, 2024",Rob,Unknown,The Locked Groove,9:23 PM,Panic
Dark Arts,"Nov 20, 2024",Rob,Rock,The Locked Groove,9:27 PM,Fractions
Dead Can Dance,"Nov 20, 2024",Rob,World,The Locked Groove,9:31 PM,Avatar (Remastered)
Pelt,"Nov 20, 2024",Rob,Unknown,The Locked Groove,9:36 PM,Almighty
Vibracathedral Orchestra,"Nov 20, 2024",Rob,Rock,The Locked Groove,9:42 PM,Going out Intending to Dig
Liars,"Nov 20, 2024",Rob,Unknown,The Locked Groove,9:47 PM,"Hold You, Drum"
Neither / Neither World,"Nov 20, 2024",Rob,Unknown,The Locked Groove,9:51 PM,Auto da Fe
Gang Gang Dance,"Nov 20, 2024",Rob,Unknown,The Locked Groove,9:54 PM,God's Money IX
Flaming Tunes,"Nov 20, 2024",Rob,Rock,The Locked Groove,9:56 PM,Another Flaming Tune
Wolves In The Throne Room,"Nov 20, 2024",Rob,Unknown,The Locked Groove,9:59 PM,Dia Artio
Cocteau Twins,"Dec 11, 2024",Rob,Unknown,The Locked Groove,9:15 PM,Feet-Like Fins
Unwound,"Dec 11, 2024",Rob,Unknown,The Locked Groove,9:20 PM,Demolished
Seefeel,"Dec 11, 2024",Rob,Unknown,The Locked Groove,9:23 PM,As X Is Y
Geologist & D.S.,"Dec 11, 2024",Rob,Unknown,The Locked Groove,9:32 PM,Route 9 Falls
Coil,"Dec 11, 2024",Rob,Rock,The Locked Groove,9:35 PM,sex with sun ra ( pt 1 saturnalia)
Portraits of Past,"Dec 11, 2024",Rob,Unknown,The Locked Groove,9:43 PM,Cypress Dust Witch II - Bridge
Lars Hollmer and Looping Home Orchestra,"Nov 27, 2024",Matt,Unknown,The Locked Groove,9:00 PM,Finalvals
"Ergo Phizmiz, People Like Us","Nov 27, 2024",Matt,Unknown,The Locked Groove,9:03 PM,Air Hostess
Pizzicato Five,"Nov 27, 2024",Matt,Unknown,The Locked Groove,9:10 PM,One Two Three Four Five Six Seven Eight Nine Ten Barbie Dolls
Schlammpeitziger,"Nov 27, 2024",Matt,Unknown,The Locked Groove,9:16 PM,Dieläyuda
Lemon Jelly,"Nov 27, 2024",Matt,Unknown,The Locked Groove,9:21 PM,Come
Kelly Lee Owens,"Nov 27, 2024",Matt,Unknown,The Locked Groove,9:30 PM,Corner Of My Sky ft. John Cale
Controlled Bleeding,"Nov 27, 2024",Matt,Unknown,The Locked Groove,9:37 PM,Deep Paths
Las Barbas Indómitas,"Nov 27, 2024",Matt,Unknown,The Locked Groove,9:51 PM,Fast Sustrato Low Pass
Guitar,"Dec 11, 2024",Rob,Pop,The Locked Groove,9:54 PM,Free
Steve Reich,"Dec 11, 2024",Rob,Unknown,The Locked Groove,9:58 PM,Six Pianos (Rework Section I)
German Army,"Nov 27, 2024",Matt,Unknown,The Locked Groove,9:57 PM,Deep Wall
Wolves In The Throne Room,"Nov 27, 2024",Matt,Heavy Metal,The Locked Groove,9:59 PM,Dia Artio
British Murder Boys,"Dec 4, 2024",Matt,Rock,The Locked Groove,9:06 PM,Dead Sun
Surgeon,"Dec 4, 2024",Matt,Unknown,The Locked Groove,9:06 PM,Masks & Archetypes
Regis,"Dec 4, 2024",Matt,Unknown,The Locked Groove,9:13 PM,Thirst
Jeff Mills,"Dec 4, 2024",Matt,Unknown,The Locked Groove,9:18 PM,The Hacker
Surgeon,"Dec 4, 2024",Matt,Unknown,The Locked Groove,9:22 PM,Rule by Law
Female,"Dec 4, 2024",Matt,Unknown,The Locked Groove,9:30 PM,Severlan: Cally 2
Surgeon,"Dec 4, 2024",Matt,Unknown,The Locked Groove,9:35 PM,Electric Chicken - 2014 Remaster
Regis,"Dec 4, 2024",Matt,Unknown,The Locked Groove,9:43 PM,Guiltless
Karenn,"Dec 4, 2024",Matt,Dance,The Locked Groove,9:48 PM,Strawbs
Surgeon,"Dec 4, 2024",Matt,Unknown,The Locked Groove,9:58 PM,Returning to the Purity of Current
Regis,"Dec 4, 2024",Matt,Unknown,The Locked Groove,9:59 PM,Guiltless
BMB,"Dec 4, 2024",Matt,Unknown,The Locked Groove,9:59 PM,Dead Sun
